PFCNTR,DMA_CODE,DMA_DESC,OPEN_BRANDS_DESC,OPERTNL_STAT_CODE,LEGAL_ENTITY_NAME,CITY_NAME,STATE_CODE,CNTY_NAME,ZIP_CODE,CNTRY,Latitude,Longitude
300100,560,"Raleigh/Durham, NC",,Permanent Close,RobertoS Br Shop,Newton,NC,Catawba,28658,USA,35.960537,-77.820509
300176,532,"Albany-Schenectady-Troy, NY",DD,Open,"DES, Inc.",Clifton Park,NY,Saratoga,12065,USA,42.871739,-73.774136
300178,506,"E. Mass/Southern, NH",DD,Open,Ventura Baking Corp.,Danvers,MA,Essex,1923,USA,,-70.931239
300179,506,"E. Mass/Southern, NH",DD,Open,"Braga Donuts Six, Inc.",Rockport,MA,ESSEX,1966,USA,42.656344,-70.626211
300202,501,"Metro, NY",BR/DD,Open,DJ Holbrook Inc. >,Holbrook,NY,Suffolk,11741,USA,40.806919,-73.07295
300204,501,"Metro, NY",DD,Open,"D. L. & R. Donuts, Inc.",East Orange,NJ,Essex,7018,USA,40.752378,-74.207983
300205,506,"E. Mass/Southern, NH",DD,Open,"NORTH CANTON DONUTS, INC.",Canton,MA,NORFOLK,2021,USA,42.139105,-71.148928
300208,506,"E. Mass/Southern, NH",DD,Open,"Montello Donuts, Inc.",Brockton,MA,Plymouth,2301,USA,42.084421,-71.017414
300210,506,"E. Mass/Southern, NH",DD,Open,"Landing Donuts, LLC",Weymouth,MA,Norfolk,2188,USA,42.218711,-70.967392
300212,506,"E. Mass/Southern, NH",DD,Open,"Leones Donut Shop, Inc.",Somerville,MA,MIDDLESEX,2145,USA,42.393243,-71.083429
300215,506,"E. Mass/Southern, NH",DD,Open,"BROADWAY COFFEE, LLC",Saugus,MA,Essex,1906,USA,42.483084,-71.020118
300221,504,"Philadelphia, PA",DD,Temporary Close,RP DOUGH 1 INC,Philadelphia,PA,Philadelphia,19102,USA,39.953181,-75.164679
300223,506,"E. Mass/Southern, NH",DD,Open,"Mass Ave. Donuts, LLC",Cambridge,MA,Middlesex,2139,USA,42.364984,-71.103405
300230,504,"Philadelphia, PA",DD,Open,"Kunal Enterprises, LLC",Philadelphia,PA,PHILADELPHIA,19146,USA,39.938239,-75.198408
300231,506,"E. Mass/Southern, NH",DD,Open,"South Main Donuts, Inc.",Concord,NH,Merrimack,3301,USA,43.197972,-71.530842
300232,506,"E. Mass/Southern, NH",DD,Open,"S & C Donuts, Inc.",Newton,MA,MIDDLESEX,2458,USA,42.360222,-71.202397
300236,506,"E. Mass/Southern, NH",DD,Open,"Holie Donut III, Inc.",Chelsea,MA,Suffolk,2150,USA,42.395836,-71.052328
300240,506,"E. Mass/Southern, NH",DD,Open,"RMG Donuts, LLC",East Boston,MA,SUFFOLK,2128,USA,42.369062,-71.039333
300241,501,"Metro, NY",DD,Open,FAC 260 Hals LLC,Harrison,NY,Westchester,10528,USA,40.968672,-73.713642
300243,548,"W. Palm Bch/Ft. Pierce, FL",DD,Open,"SOUTHEAST ENTERPRISE HOLDINGS, LLC",Lake Park,FL,Palm Beach,33403,USA,26.794429,-80.054492
300244,521,"Providence, RI",DD,Open,"Calf Donuts, Inc.",Providence,RI,PROVIDENCE,2904,USA,41.854031,-71.400507
300245,521,"Providence, RI",DD,Open,"Torus I, Inc.",Cranston,RI,PROVIDENCE,2910,USA,41.781744,-71.440185
300247,521,"Providence, RI",DD,Open,"Woonsocket Donuts, Inc.",Woonsocket,RI,PROVIDENCE,2895,USA,42.004717,-71.498142
300248,557,"Knoxville, TN",DD,Permanent Close,"Bluemont Group, LLC",Knoxville,TN,Knox,37923,USA,35.923589,-84.094769
300250,506,"E. Mass/Southern, NH",DD,Permanent Close,"Park Avenue Donuts, Inc.",Worcester,MA,WORCESTER,1605,USA,42.247836,-71.833644
300252,506,"E. Mass/Southern, NH",DD,Open,"Epstein Porter I, LLC",Cambridge,MA,MIDDLESEX,2140,USA,42.3892,-71.119597
300254,506,"E. Mass/Southern, NH",DD,Open,"Broad Street Donuts, LLC",Nashua,NH,Hillsborough,3060,USA,42.770011,-71.491821
300255,506,"E. Mass/Southern, NH",DD,Open,"Quincy Donuts, Inc.",Quincy,MA,NORFOLK,2169,USA,42.252772,-70.993044
300258,506,"E. Mass/Southern, NH",DD,Open,"Blake & Trombley, Inc.",Winchendon,MA,WORCESTER,1475,USA,42.681106,-72.048297
300259,506,"E. Mass/Southern, NH",DD,Open,"Newton Donuts, Inc.",Newton,MA,Middlesex,2461,USA,42.319078,-71.209992
300260,548,"W. Palm Bch/Ft. Pierce, FL",DD,Open,"PAFB DD Foods, LLC",Juno Beach,FL,Palm Beach,33408,USA,26.882031,-80.059275
300261,533,"Hartford-New Haven, CT",DD,Open,"J.B. Donuts, Inc.",New Haven,CT,New Haven,6515,USA,41.331862,-72.974466
300263,533,"Hartford-New Haven, CT",DD,Permanent Close,"New Meriden Donuts, Inc.",Meriden,CT,NEW HAVEN,6451,USA,41.538017,-72.807372
300264,521,"Providence, RI",DD,Open,"Rockdale Donuts, Inc.",New Bedford,MA,BRISTOL,2740,USA,41.613661,-70.931381
300268,537,"Bangor, ME",DD,Open,"DMCP Group, LLC",Bangor,ME,Penobscot,4401,USA,44.794766,-68.774891
300269,506,"E. Mass/Southern, NH",DD,Open,"Newport Donuts, Inc.",Dover,NH,Strafford,3820,USA,43.199631,-70.875508
300270,521,"Providence, RI",DD,Open,"A & A DONUTS, INCORPORATED",Warwick,RI,Kent,2888,USA,41.7355,-71.434767
300277,506,"E. Mass/Southern, NH",DD,Open,"Natalia Donuts, Inc.",Woburn,MA,Middlesex,1801,USA,42.467311,-71.178194
300279,506,"E. Mass/Southern, NH",DD,Open,"Laconia Donuts, Inc.",Laconia,NH,BELKNAP,3246,USA,43.524011,-71.467402
300283,533,"Hartford-New Haven, CT",DD,Open,"Spiro Donuts, LLC",Hamden,CT,New Haven,6514,USA,41.363606,-72.923389
300284,533,"Hartford-New Haven, CT",DD,Open,"B & C Donuts, Inc.",Milford,CT,New Haven,6460,USA,41.239047,-73.035461
